"index";"series_name";"network";"season";"title";"imdb";"engagement";"date_aired";"run_time";"format";"monster_name";"monster_gender";"monster_type";"monster_subtype";"monster_species";"monster_real";"monster_amount";"trap_work_first";"setting_terrain";"setting_country_state";"suspects_amount";"culprit_gender";"motive";"door_gag";"number_of_snacks";"split_up";"another_mystery";"set_a_trap";"jeepers";"jinkies";"my_glasses";"just_about_wrapped_up";"zoinks";"groovy";"scooby_doo_where_are_you";"rooby_rooby_roo";"caught_by";"captured";"unmasked";"guest_stars"
453;"Warner Home Video";"Warner Home Video";"Movie";"Scooby-Doo! Music of the Vampire";6.5;1573;"2012-03-13";78;"Movie";"Lord Valdronya";"Male";"Undead";"Vampire";"Human";"FALSE";1;"TRUE";"Swamp";"Louisiana";7;"Male,Male";"Competition";"TRUE";"0";0;1;0;0;2;0;0;1;0;0;0;"Fred";"Daphnie";"Velma";""
454;"Warner Home Video";"Warner Home Video";"Special";"Scooby-Doo! Spooky Games";6.9;195;"2012-07-17";23;"TV Series";"Fortius";"Male";"Possessed Object";"Statue";"Human";"FALSE";1;"";"Urban";"England";4;"Male";"Competition";"FALSE";"0";0;1;0;0;0;0;0;0;0;0;1;"Daphnie, Velma";"";"Daphnie";""
455;"Scooby-Doo Mystery Incorporated";"Cartoon Network";"2";"The Night the Clown Cried";8.5;226;"2012-07-30";23;"TV Series";"Crybaby Clown";"Male";"Disguised";"Clown";"Human";"FALSE";1;"FALSE";"Urban";"California";1;"";"";"FALSE";"0";0;0;0;0;1;0;0;0;0;0;0;"Not caught";"";"";""
456;"Scooby-Doo Mystery Incorporated";"Cartoon Network";"2";"The House of the Nightmare Witch";7.9;187;"2012-07-31";23;"TV Series";"Baba Yaga House, Baba Yaga";"Male, Female";"Possessed Object, Magician";"House, Witch";"House, Human";"FALSE";2;"TRUE";"Forest";"California";2;"Male";"Smuggling";"FALSE";"0";0;0;0;0;2;0;0;0;0;0;0;"Fred";"";"";""
457;"Scooby-Doo Mystery Incorporated";"Cartoon Network";"2";"The Night the Clown Cried II - Tears of Doom";8.4;197;"2012-08-01";23;"TV Series";"Crybaby Clown";"Male";"Disguised";"Clown";"Human";"FALSE";1;"FALSE";"Urban";"California";2;"Male";"Abduction";"FALSE";"0";0;0;0;0;1;0;0;2;0;0;2;"Fred";"Fred";"Fred";""
458;"Scooby-Doo Mystery Incorporated";"Cartoon Network";"2";"Web of the Dreamweaver!";8.2;192;"2012-08-02";23;"TV Series";"Dreamweaver";"Male";"Magician";"Wizard";"Human";"FALSE";1;"TRUE";"Urban";"California";4;"Male";"Competition";"FALSE";"0";0;0;0;0;0;0;0;0;0;0;0;"Fred";"";"";""
459;"Scooby-Doo Mystery Incorporated";"Cartoon Network";"2";"The Hodag of Horror";8.4;188;"2012-08-03";23;"TV Series";"Hodag of Horror";"Male";"Animal";"Beast";"Beast";"FALSE";1;"TRUE";"Urban";"California";3;"Male";"Theft";"FALSE";"0";0;0;0;0;0;0;0;0;0;0;0;"Fred, Scooby";"";"Velma";""
460;"Scooby-Doo Mystery Incorporated";"Cartoon Network";"2";"Art of Darkness";7.7;177;"2012-08-06";23;"TV Series";"Junk";"Male";"Mechanical";"Trash";"Trash";"FALSE";1;"TRUE";"Urban";"California";6;"Male";"Competition";"FALSE";"0";0;0;0;0;2;0;0;0;0;0;0;"Fred";"";"Daphnie, Velma";""
461;"Scooby-Doo Mystery Incorporated";"Cartoon Network";"2";"The Gathering Gloom";8.2;172;"2012-08-07";22;"TV Series";"Graveyard Ghoul";"Male";"Undead";"Ghoul";"Human";"FALSE";1;"";"Rural";"California";5;"Male";"Natural Resource";"FALSE";"0";0;0;0;0;3;0;1;1;0;0;0;"";"";"";""
462;"Scooby-Doo Mystery Incorporated";"Cartoon Network";"2";"Night on Haunted Mountain";8.3;183;"2012-08-08";23;"TV Series";"Dark Lilith";"Female";"Mythical";"Demon";"Demon";"FALSE";1;"";"Desert";"California";3;"Female";"Treasure";"FALSE";"0";0;0;0;1;0;0;0;2;0;0;0;"Scooby, Not caught";"";"Velma";""
